,bbox_list
000155de5.jpg,"[(465, 344, 501, 448)]"
000194a2d.jpg,"[(377, 67, 387, 85), (174, 258, 185, 306), (178, 331, 197, 370), (287, 469, 307, 492)]"
00021ddc3.jpg,"[(705, 96, 720, 121), (732, 123, 768, 178), (629, 181, 638, 187), (661, 195, 665, 201)]"
0002756f7.jpg,"[(36, 324, 67, 351)]"
00031f145.jpg,"[(124, 443, 153, 472)]"
000532683.jpg,"[(460, 597, 474, 604), (756, 738, 763, 747)]"
00053c6ba.jpg,"[(124, 736, 139, 752)]"
0005d01c8.jpg,"[(598, 72, 739, 237), (252, 476, 321, 556)]"
0005d6d95.jpg,"[(171, 345, 190, 367)]"
0006c52e8.jpg,"[(197, 190, 472, 407)]"
000d42241.jpg,"[(583, 480, 588, 488)]"
000e6378b.jpg,"[(401, 292, 422, 325)]"
000fd9827.jpg,"[(259, 69, 276, 85)]"
00113a75c.jpg,"[(273, 144, 312, 196), (50, 225, 91, 290), (118, 513, 159, 558), (41, 698, 70, 737)]"
001234638.jpg,"[(401, 170, 530, 327)]"
001566f7c.jpg,"[(473, 91, 598, 273)]"
0017c19d6.jpg,"[(514, 428, 527, 442), (449, 528, 469, 548)]"
0018e5d6c.jpg,"[(127, 72, 205, 355)]"
0019fc4d8.jpg,"[(111, 477, 166, 592)]"
001aee007.jpg,"[(61, 270, 114, 327), (712, 314, 768, 384), (549, 539, 622, 608), (65, 646, 195, 768)]"
001bcf222.jpg,"[(345, 285, 361, 307)]"
001e418bc.jpg,"[(505, 158, 631, 296)]"
001eb2794.jpg,"[(682, 44, 698, 68)]"
001ed8b9b.jpg,"[(183, 8, 276, 338)]"
001eda01f.jpg,"[(545, 479, 554, 492)]"
0022f64e5.jpg,"[(627, 135, 662, 204)]"
00269a792.jpg,"[(225, 89, 311, 163)]"
0027854cc.jpg,"[(316, 0, 381, 84)]"
002868a5c.jpg,"[(622, 226, 630, 232)]"
00286e8b9.jpg,"[(471, 445, 590, 569)]"
002943412.jpg,"[(594, 186, 719, 330), (140, 268, 193, 342), (215, 391, 236, 416)]"
002c62c03.jpg,"[(47, 639, 62, 665)]"
002c78530.jpg,"[(66, 336, 73, 342), (189, 418, 210, 448)]"
002d56570.jpg,"[(373, 543, 411, 627)]"
002deeb16.jpg,"[(415, 112, 521, 328)]"
002e85393.jpg,"[(141, 175, 164, 194)]"
002fdcf51.jpg,"[(285, 345, 435, 601)]"
00319c32d.jpg,"[(481, 214, 486, 219)]"
003520305.jpg,"[(553, 1, 576, 68), (711, 57, 736, 109), (147, 110, 176, 194), (571, 316, 591, 363), (548, 502, 569, 564), (481, 673, 512, 725)]"
00371aa92.jpg,"[(583, 270, 599, 295)]"
0038cbe45.jpg,"[(621, 283, 639, 313)]"
003b48a9e.jpg,"[(716, 379, 726, 387), (451, 459, 464, 466)]"
003d43308.jpg,"[(544, 37, 648, 99)]"
003e2c95d.jpg,"[(329, 217, 349, 278)]"
0040cf4e9.jpg,"[(362, 447, 455, 700)]"
004141855.jpg,"[(0, 555, 61, 671)]"
0041d7084.jpg,"[(243, 20, 261, 36), (140, 116, 152, 124), (0, 159, 11, 166), (55, 213, 70, 225), (227, 216, 241, 231)]"
004331bef.jpg,"[(652, 150, 679, 184), (564, 316, 592, 348)]"
0046d5d83.jpg,"[(596, 22, 614, 38)]"
00497c23d.jpg,"[(434, 343, 452, 358)]"
004bc7ae6.jpg,"[(707, 7, 722, 13), (176, 448, 190, 456)]"
004d7c73a.jpg,"[(67, 580, 80, 608)]"
004e68ede.jpg,"[(113, 668, 144, 695)]"
004e94ecb.jpg,"[(486, 43, 508, 122)]"
004f97cfb.jpg,"[(66, 514, 81, 533)]"
00552a73d.jpg,"[(38, 236, 46, 254), (47, 236, 48, 237), (0, 237, 89, 426)]"
0056d301c.jpg,"[(361, 348, 367, 362), (606, 488, 625, 510), (543, 605, 593, 687)]"
0056fbc62.jpg,"[(46, 493, 53, 510)]"
00578738f.jpg,"[(601, 32, 613, 51)]"
005883911.jpg,"[(358, 13, 425, 229)]"
005a7670a.jpg,"[(440, 393, 571, 585)]"
005c8e121.jpg,"[(127, 384, 236, 471)]"
005d6a820.jpg,"[(220, 0, 341, 93), (485, 450, 606, 675), (627, 575, 732, 768), (365, 595, 451, 763)]"
005f02549.jpg,"[(663, 545, 680, 563)]"
005faf88a.jpg,"[(610, 108, 635, 128)]"
0060f6de0.jpg,"[(515, 439, 559, 599)]"
00610229c.jpg,"[(221, 426, 228, 438)]"
0062ad143.jpg,"[(617, 348, 623, 362)]"
0062e4cf1.jpg,"[(88, 140, 98, 154)]"
00640a1af.jpg,"[(125, 70, 248, 149), (654, 439, 677, 506), (264, 711, 285, 732)]"
0064956d4.jpg,"[(743, 411, 748, 430)]"
0067a8e04.jpg,"[(751, 24, 768, 44), (177, 53, 192, 69), (686, 191, 706, 217)]"
0068b3804.jpg,"[(246, 244, 269, 310), (326, 306, 354, 396)]"
006da0c7b.jpg,"[(644, 452, 661, 467)]"
006f392d7.jpg,"[(626, 70, 649, 93), (518, 399, 531, 413)]"
0070fe317.jpg,"[(443, 582, 453, 593)]"
0074d6c72.jpg,"[(526, 81, 595, 204)]"
